anger_train_comment,anger_train_label,anger_test_comment,anger_test_label,joy_train_label,joy_train_comment,joy_test_label,joy_test_comment,sadness_train_comment,sadness_train_label,sadness_test_comment,sadness_test_label,love_train_comment,love_train_label,love_test_comment,love_test_label
I don't want to pull the whole patch though.,0,,,0,The absolut portion of the path *is always prepended*.,,,I really don't know how to solve this problem.,1,,,I just committed this.,0,,
"I doubt that Squid is so
bad at it.",1,,,0,So any of your suggestions do not help.,,,"I recently stumbled upon a C++ey STLey impl -> http://code.google.com/p/patl/
bq.",0,,,I just committed this.,0,,
"I encounter the same NullPointerException in the 4.1.0 source code release, but currently I don't have a git 4.1 environment to verify it.",0,,,0,Assume closed as resolved and released,,,"I refereed to the [^v1-enable-wall-werror.patch] which contains {{-Wall -Werror}} and I thought it sould be {{-Wall -Wextra}}
However, just add {{-Wall}} to that patch makes absolutely sense and could be committed.",0,,,I just committed this.,0,,
I feel the same way about JIRA.,0,,,0,PR https://github.com/SpringSource/spring-integration/pull/621,,,I reproduced the bug using Snitter.,0,,,I learned much the issue progress of hadoop here.,0,,
I forgot to resolve this bug.,0,,,0,I committed patch _c with revision 697897.,,,"I said above that the earlier patches were lost, but nope, there they are.",0,,,I like Richards update as well :) What I did was out of pure anger so it may not have been the sexiest.,1,,
"I have changed one test to see what will happend if I set the pwdIdle to b > 0, and the test passes.",0,,,0,"Note, that as indicated before, JVMInfo still is part of derbyclient.jar (I assume because of the need to support sysinfo).",,,I saw this behavior in a stress test just now as well on tip of 20.,0,,,"I like the idea of making sure that things that should be specified should be passed as method parameters in one go, rather than through chaining, which makes it a lot harder to see what is required.",0,,
I have retested it and I figured out that I have posted the wrong parameters in the bug description.,0,,,0,Committed to trunk and 0.21 branch.,,,I screwed up the encoding of the stopwords file (sorry).,1,,,I misunderstood your comments.,0,,
I have tried using Snappy{Input/Output}Stream and they don't work (it just throws EOFException in the middle of the transfer) and causes stream to retry.,0,,,0,Thanks Amar!,,,I should have been very careful before doing this.,1,,,I polished and fixed CS as well.,0,,
I imagine that if 7-Zip can do this decryption then the encryption mechanism I seek is not forbidden by licensing restrictions.,0,,,0,An awesome feature of Hive is the rich type system with excellent support for complex data-structures.,,,"I tested a couple of projects with IDEA 7 and 8 and some more with IDEA 7, and everything is working.",0,,,I ran it from the base and it looks good.,0,,
I just hope it does wait forever on sockets or anything stupid like that... but we'll see.,0,,,0,"Solomon,
That is very slick.",,,I tested the JAVA_HOME change in Linux and it doesn't seem to work (unset JAVA_HOME and launch Eclipse for debugging).,0,,,I really like what I am seeing so far.,1,,
I just noticed that!),0,,,0,I tested it and it works fine.,,,I think it will be useful to standardize all the messages.,0,,,"I respectfully disagree with your interpretation even though in most of the
cases it corresponds to what the majority of users may expect to see (including
myself).",0,,
"I just noticed your public tweet...
bq. ""@wilhelmbierbaum True. Fuck the Avro C API.""",1,,,0,Thank you.,,,"I think it's a borderline class - architectually
good for Lang, but the Math guys are going to have a better idea about the
complexities to be found.",0,,,"I send you a list of all .jars at present i use in both projects, there are many libraries but i test even with the minimal jars with the same results.",0,,
I just realized I never really explained the original problem that led me to making these fixes.,0,,,0,"Chris,
This might be a useful technique to add to the documentation or to a HOWTO on the SJC wiki (when / if there is one)

Thanks all.",,,I think just needed for this at mo.,0,,,I still can't work out how to do this.,0,,
I know this is a closed issue but here goes anyway.,0,,,0,Committed after fixing the typo.,,,I think this was a dud.,0,,,I still find the difference puzzling -- I can't justify your version being 3x faster.,0,,
"I know, in your webapp this condition might be fulfilled, but GroovyShell is not special to web applications.",0,,,0,One minor point - can you make result a member variable of GenericUDFArrayContains?,,,I took care of this already.,0,,,I tend to doubt there's anything we can do about this if the problem is at a lower level.,0,,
"I like having consistent indenting, but now it is really hard to see the diffs, and it gets confusing.",0,,,0,This will reduce object creation.,,,I used to have the subset of in-memory partitions maintained as a sliding window (i.e.,0,,,"I tested this again on Ubuntu 10.04,
This works with the new Tomcat instance and then when I tried the 2nd time it is not working.",0,,
I looked at our distributed pom.xml and they're pretty obscure.,1,,,0,"The patch needs to be regenerated against the current trunk, but otherwise looks good.",,,"I was in too much of a hurry, sorry hold on a sec.",1,,,"I think allUserRegionsOffline should be declared inside
{code}
} else if (this.stopping) {
{code}
block.",0,,
"I lost the whole morning cause HBase's RegionServer was dying with no logs, no nothing... how Am I supposed to debug the issue if u do not even generate a core dump?",1,,,0,"Thanks, Kristian.",,,"I was originally suggesting you might sacrifice speed with the caches for RAM - but, its always best to use the best settings and have the necessary RAM.",0,,,"I think perhaps some of the crazier ones like DiskFull, TestCrash, anything that has to disable MockDirectoryWrappers's checks because they must create corrupt indexes or other scary things.",0,,
I pretty much have this working.,0,,,0,Committed revision 1341814.,,,I was talking that the first three months of becoming a TLP we have to report monthly.,0,,,"I think that Henry Zongaro should open a new defect for the local-name
problem.",0,,
I remember that rule for line breaking in Japanese was very different from that of English.,0,,,0,Deleted spurious 'Added: svn:executable' from the patch.,,,"I was thinking more of what happens on a Unix shell when you hit ""clear"".",0,,,I think that the problems are not related.,0,,
"I reviewed javadoc but, right or wrong, I didn't come across this.",0,,,0,"The .md extension is used for the readme because it's in MarkDown format, used by GitHub.",,,I wasn't talking about the perment schedule.,0,,,"I think the language in snowball must be English, not en.",0,,
i suck.,1,,,0,"See the following page for an example:

https://github.com/seam/examples/tree/master/booking",,,I will figure out the details and do the port later this week if you don't get to it first.,1,,,I think this issue had a clear target to factor out the hash table out of TermsHashPerField and we should close it.,0,,
I sure as hell don't want to start attaching models for the sake of detaching them directly afterwards.,1,,,0,"It is completely expected an updatesite.zip for all of devstudio is *bigger* than the installer.jar
",,,I will try to do more research on it.,1,,,I updated the indentation and doc/build.xml.,0,,
"I suspect it has nothing to do with the file system connector or Infinispan connectors, and is simply a (stupid) mistake in the federated join processor.",1,,,0,"I presume so.

",,,I will update the docs (probably this weekend when I find some time),0,,,I want to integrate the sweet sweet logo Andrew crafted.,1,,
I think all properties and permissions should be maintained.,0,,,0,"updating, minor errors in pdf doc",,,I will upload another patch (V5) in a couple minutes.,0,,,I was sure It's in CVS already.,0,,
I think I prefer this approach.,0,,,0,Yup instruction are not correct.,,,I will work on merging this into 10.3 codeline and writing a test case.,0,,,I will apply and verify it.,0,,
I think I would be happy with a process where a weinre build is kicked off for every commit to master.,0,,,0,"""That said, check out setReadLength in TBinaryProtocol.""",,,"I worked with this on Danushka, and the following fix worked for us.",0,,,I will check-in this version...,0,,
"I think if you use either LogDoc/ByteSizeMergePolicy, forceMerge also
does what it says.",0,,,0,I have committed this.,,,I would keep the hasActive field in memory (in the PartitionStore).,0,,,"I will correct it and ask for commiting the patch, once I am done with this.",0,,
I think it's time to just close this issue.,1,,,0,Also thanks Matt for the review.,,,I would like to show new API design first.,0,,,I will have a look at this.,0,,
I think MINA is more of a 'server framework' rather than an 'NIO framework'.. it is so close to being both.,0,,,0,"Yup, I'll get it in today.",,,I would prefer to get rid of the sleep again though.,0,,,I will investigate this issue and update the patch.,0,,
"I think SSTableDeletingTask is a good spot, I just wasn't sure if that would be appropriate.",0,,,0,Fixed in r544,,,"I would prefer to write it as
SELECT intersect(employee,this.employees).manager.lastname FROM org.apache.jdo.tck.pc.company.Department VARIABLES Employee employee Now it's up to up to clearify",0,,,I will try to review the latest patch sometime today...,0,,
I think that would be the cleanest solution to prevent bad behaviour with wrong codecs?,0,,,0,"Yeah, it looks like there are conflicts with RenderingContentRewriter and one of the guice modules.",,,I'd like to get them cleaned up because there are now so many that other more important and/or meaningful warnings are likely to be ignored.,0,,,I will try your suggestions,0,,
"I think the ability to hotswap a valve or even an entire pipeline, real-time is pretty damn kewl!",0,,,0,Committed to Trunk.,,,I'll focus my efforts on the compile targets then.,0,,,"I would
appreciate if any commiter review the patch.",0,,
"I think the comments here are a bad sign... I sent us down an unfortunate slippery slope
we are a search engine library!
don't put shit in the index directory! or we will delete your shit. dead simple.",1,,,0,Atlassian 3.2 is in Central.,,,I'll get it right this time :),0,,,I would also like us to start using WikiNames wherever useful.,0,,
I think the rename should follow the same pattern.,0,,,0,Missfire,,,I'll look into it.,0,,,I would like to get some early comments on the changes I have made to the Namenode to support restarting within the same JVM.,0,,
I think there is enough there to close the issue.,0,,,0,"closed with no testing, Ian says this is a code-level change.",,,I'll take a closer look.,0,,,I would like to see this reopened.,0,,
I think there were a mistake.,0,,,0,"When the order of methods change, so the rendering of fragments is bellow the definition, then it works fine.",,,I'll try the approach you suggested.,0,,,"I would love it in 3.3.2, will upload a patch for that version.",1,,
I think this is pretty close to being ready.,0,,,0,Two git commits included.,,,I'll try to test out the patch this weekend and let you know how it goes.,0,,,I would love to have it right now for storm too. If you want me to sign up as a use case I am happy to.,1,,
I think this is the third one you created in the same day?,0,,,0,Abandoned; no longer necessary.,,,I'll upload example once again in 2 hours.,0,,,I'd like for Stack or Jim to take a look at it before we commit it.,0,,
I think this is what caught me the first time I tried this,0,,,0,"I'm giving this up hoping someone confident in Swing would look into it. 
",,,I'm fine w/ not naming it Consumer - I agree it does not really consume it.,0,,,I'd prefer that we instead direct users towards a single preferred high-level serialization system and a single preferred container.,0,,
I think we all know it just sucks.,1,,,0,Have you been able to work on that ?,,,I'm good with the last version of the patch of just adding a dclocal read repair chance.,0,,,I'd say last Sun JDK 1.5 as it's still the one recommended for OFBiz (even if I guess most of us use 1.6),0,,
I think we are very close too.,0,,,0,Do you need any help?,,,"I'm not forgetting it :) Did you forget it, or did I miss it somewhere?",0,,,I'll commit once hudson +1s it.,0,,
I think you made mistakes in ivy.xml.,1,,,0,"Hi Matt,

Thank you for fixing this issue.",,,"I'm sorry Mark,
I came back here to remove my comment as after building the app from scratch I have found that by default it used WhenExhaustedAction = GROW and not BLOCK!",1,,,I'll have a deeper look this evening.,0,,
I too am concerned about the DRDA 255 byte character string limit.,0,,,0,I will use it when it will be included in a future release.,,,I'm sorry.,1,,,I'll have a look at mime4j and try to use it in Tika,0,,
"I understand job execution creation needs to be atomic, but I don't think it implies the whole logic around creating job execution must be handled by repository.",0,,,0,Committed the addendum in revision 1414868.,,,I'm starting the 2nd version of DerbyTest from Eclipse as well.,0,,,I'll ping here once this will be done.,0,,
"I used to be the latter, but then I went to law school and got a degree in this shit.",1,,,0,Thanks for pointing out this (rather embarrassing) oversight!,,,"I'm very busy for the moment so I didn't know when I 'd be able to the change myself, so if you can, your contribution would be one more time really appreciated.",1,,,I'll post a patch that makes 10.9 compile the test against 1.5 instead of 1.4.,0,,
I was surprised to see this issue still getting so much commentary.,0,,,0,Fixed for both 2.0 M4 and 1.2.8.,,,I'm very sorry.,1,,,I'll re-run the whole suite on branch-20-security for sanity before committing.,0,,
I wholeheartedly agree this API is confusing as hell.,1,,,0,"Amila,
Could you please check my fix?",,,I've filed them in this JIRA: HDFS-2875.,0,,,I'm almost done w/ a conversion.,0,,
I will make the change.,0,,,0,"Hi Drew,

I have upgraded Postage to James3 (see POSTAGE-23) and used your patch at this occasion.",,,"I've got a patch, figured I'd have someone take a quick look-see before pushing it to Apache.",0,,,I'm glad we were able to resolve this issue.,1,,
I will post a new patch pretty soon.,0,,,0,Looks like we have already taken care of this.,,,I've just seen that you attached a patch to this issue.,0,,,I'm going to commit this momentarily.,0,,
I will take this into account of course.,0,,,0,are any changes needed to dd2spring for this?,,,I've rework almost all needed messages in Preconditions.checkArgument.,0,,,"I'm no pom expert, but it seems that unqualified pom variables can cause this problem.",0,,
"I won't intrude on the design discussion, sounds good.",0,,,0,I suggest making a tooltip with the title of the context help article (a popup)  when the user hovers the question mark icon.,,,I've saw this after completed the issue.,0,,,I'm not very familiar with ant but i'd think it's just a wildcard for a classpath.,0,,
"I wonder if we could do some sort of auto-detect
I'll poke -- getStream().mark()/reset() can probably work for XML/JSON but it may break things for javabin",0,,,0,"We'll go with this for now, thanks for the fix!",,,"If any execution of the task encounters an exception, subsequent executions are suppressed...""
so get() shouldn't be causing a cancel, but if an exception is found then we need to re-schedule it manually.",0,,,"I'm thinking of multiple concurrent mutateRows operation, trying to lock the same set of rows.",0,,
I wonder why not so many people use Linux?,0,,,0,Ran some benchmarks.,,,if get is causing the cancel even w/o any exceptions being involved then I guess you'll need to source dive in ScheduledThreadPoolExecutor to see what is going on.,0,,,"I'm truly sorry for this inconvenience, but JIRA is really strict about the versions being equal when doing an import.",0,,
"I would have checked it in directly, but there were some aspects that I didn't care for but couldn't seem to get around.",0,,,0,"When the modulus is large, which means that number of collisions is small, LightWeightGSet is much better than GSetByHashMap.",,,"if I were to write a MyQuery class and implemen the toString method a certain way, how would QueryParser know about MyQuery?",0,,,i've attached a libs.zip that contains bookkeeper and zookeeper libraries.,0,,
I would have hopped that the URI(String) constructor would have decoded things properly (or encoded them as it happens to be here).,0,,,0,added fixVersion,,,"If I'll come across Xerces again, I'll try it.",0,,,I've attached the output of dblook as db.sql and a simplified creation script as sample.sql that includes the relevant tables and columns with sample data.,0,,
I would rather state that most Java libraries *do* care about Maven.,0,,,0,Rolled over to 0.5.5 to get a stable JavaOne release out,,,If it would as simple as just recreating ReplicationZookeeper or using RecoverableZookeeper J-D would have probably just done it :),0,,,I've checked the repository myself and everything seems fine to me.,0,,
I'd say to hell with windows minority :),1,,,0,"Can you expand on the difference between a Prepared Statement and
a Logical Prepared Statement?",,,"If someone wants to take this over, that's cool - I'm unlikely to have time in the next week and a half, though.",1,,,I've committed the patch.,0,,
"I'll be happy to edit the wiki when I get this
resolved!",0,,,0,"And also on the difference between a
Connection and a Logical Connection?",,,"if someone wants to work on this please go ahead, I still plan to, just no time yet.",1,,,I've just committed this to trunk and branch-2.,0,,
I'll copy that into a LICENSE.txt file.,0,,,0,"Are these already-existing
concepts in the client?",,,"If there's a problem with items being in the cache when they shouldn't be, adding a check around the Add method isn't a solution to that problem.",0,,,"I've modified the patch to name the function rep.normalize
If you think that my proposal is actually not enough ambitious for being called ""normalization"", do you prefer something like rep:toASCII, which may seem less universal ?",0,,
I'll make an updated patch.,0,,,0,Or did you introduce these concepts?,,,"If we need to specify a different minSize later, we can add a {{setMinSize}} function.",0,,,I've pinged PMC group to have another eyes look around to be sure that everything is fine.,0,,
I'll make that change and close the issue.,0,,,0,"Thanks!
",,,If we put this jar to bootclasspath we'll have at least 5% performance boost on HWA application .,0,,,I've ran the tests are both seems to be running fine now.,0,,
I'll open one now so I don't forget.,0,,,0,how does your application.cfc looks like (ormsettings)?,,,"If you do take hold of it, do not hesitate to share :) The original paper and C++ code likewise melt my brain, and I needed the algo in some other place.",0,,,I've tried this and Can't seem to find any problem.,0,,
I'll see if I can find a way; our systems are pretty constrained in that dimension.,0,,,0,I think Jason has done this already?,,,"If you do, you'd stand a better chance of making a proper fix...",0,,,"I've updated the patch to do this, but it still needs tests for this part.",0,,
I'll take a look at where the framework should call it.,0,,,0,canceling,,,"If you know of a way, please describe it.",1,,,"If attempt id 1 was speculative, the framework would not have killed it as the original attempt was a failure.",0,,
I'll take care of this.,0,,,0,We'll take a look for 1.21.,,,"If you want to work on it or assign it to someone else, please do.",0,,,"If I commit it as-is, we could miss some help.",0,,
I'm a pretty strong -0 on this.,1,,,0,"Thanks Matt, Todd and Cos!",,,"If you would like to take up this work, that'd be great.",0,,,"If it was not, was the attempt Id 1 killed explicitly?",0,,
"I'm against such heavy committing myself, without some consensus to do so.",1,,,0,"From https://builds.apache.org/job/PreCommit-HBASE-Build/2581/console, it is not clear which test hung.",,,Ignore comment.,1,,,If it's never ok to pass null for the path (ie a bug in the code) then you can assert path != null or throw an AssertionError.,0,,
I'm an idiot... there's nothing wrong with the readme.txt.,1,,,0,Committed the patch with thanks to Christian.,,,"Igor, sorry it took me so long to get back to this.",1,,,"If it's OK sometimes and not others than IllegalArgumentException seems appropriate, seems like it should never be legitimate to create a FileStatus w/o a path unless using the no argument constructor.",0,,
I'm confused.,1,,,0,"Sangwon Seo, Thanks for your review.",,,Ill go ahead and push it.,0,,,"If no other objections, let's commit Clint's patch since it works for him.",0,,
I'm confused...,1,,,0,"Could you give me more comments?
",,,ill upload a patch for 3.1 and 3.2 branch as soon as ZOOKEEPER-597 gets committed to those branches.,0,,,"If regionnames were made of tablename+endrow instead of tablename+startrow, then in the metatables, doing a search for the region that contains the wanted row, we'd just have to open a scanner using passed row and the first row found by the scan would be that of the region we need (If offlined parent, we'd have to scan to the next row).",0,,
I'm fairly convinced that signing is the only way to go without turning the knobs so far up that the AM is pretty useless (no images!,0,,,0,fixed.,,,in an OSGi container as a separate bundle.,0,,,"If so, I'll go ahead and commit this patch.",0,,
I'm going to close this out.,0,,,0,This obsoletes ~/.m2/maven.properties,,,In current version the same error cause different messages because there are many commiters.,1,,,"If tablet unloads were to use the normal compaction queue, may want to prioritize unload related compactions on the queue.",0,,
I'm however very interested in this feature as it is essential to me.,1,,,0,The last bug I see mentioning a HSQL upgrade was JBAS-1618 which ended up with 1.8 RC9.,,,"In that case, the NN should delay creating a replication-storm in the hope that the network partition gets resolved soon.",0,,,"If we had this in place, I think it would help with the migration to this new way of doing the meta because as is, the region name in fs is a hash of regionname... changing the format of the regionname would mean we generate a different hash... so we'd need hbase-2531 to be in place before we could do this change.",0,,
I'm just throwing it out there.,0,,,0,"However, this bug mentions that we were upgrading from 1.8.0.2 to 1.8.0.7.",,,In the 1410e patch here are test cases that have not made into the bulkpostings branch.,0,,,"If we redid the meta tables in this format, we'd be using an access that is natural to hbase, a scan as opposed to the perverse, expensive getClosestRowBefore we currently have that has to walk backward in meta finding a containing region.",0,,
"I'm no angel, and I'm not perfect about this myself.",0,,,0,When did 1.8 RC 9 get upgraded and where is it tracked/documented?,,,"In the wiki next to each one of these parameters it explicitly says that reducing this parameter will decrease memory usage, this is why we reduced these parameters (it did not mention the filterCache at all).",0,,,"if we want to create a jspwiki-api.jar, we only need to jar up the contents of a particular subdirectory.",0,,
"I'm not against fixing the CS, I just want to ensure we do the 'right' fix.",0,,,0,Done in Weld and TCK,,,Incidentally if we all nag Joe Walnes enough we might be able to persuade him to release a new qdox which can ignore annotations etc (though it will still struggle with generics I think),1,,,"If we were using scans, prewarming client cache would be near costless (as opposed to what we'll currently have to do which is first a getClosestRowBefore and then a scan from the closestrowbefore forward).",0,,
"I'm not entering bogus reports for the hell of it ;)
Matt",1,,,0,Applied patch.,,,IncomingStreamReader does clean the tmp file when there is an expection (there's an enclosing 'try catch').,0,,,If you feel this can be done may be we can file an Improvement JIRA.,0,,
I'm not sure this can't be achieved without messing with IR/W guts so much.,0,,,0,Thanks.,,,Incomplete example.,0,,,"If you have any other things you don't like about it, let me know and I can work on it tomorrow.",0,,
I'm sorry for making it confusing.,0,,,0,And many thanks to you Olivier for applying this so quickly!,,,"indeed, good catch!",0,,,"if you like, please push this in.",0,,
"I'm starting to think of ""DLL Hell.""",1,,,0,quick patch.,,,"Inferring that it might make a difference, based on your comment, I tried using 'console.log()' and the unexpected behavior was no longer present.",0,,,"if you want to view online there is a refreshed version here: wicketstuff.org/wicket13doc
for fragment see here
http://wicketstuff.org/wicket13doc/org/apache/wicket/markup/html/panel/Fragment.html",0,,
"I'm very, very keen on preserving backwards compatibility.",0,,,0,What's the operation?,,,Instead of hardcoding the hooks we could introduce a LifeCycleHookProvider similar to ValidatorProvider we already have.,0,,,"If you're ok with that, I think another jira should switch the parser.",0,,
I've been running with -Xmx1024M -Xms1024M before and that worked in the past...Not sure what's going on now.,0,,,0,I just committed this to trunk and branch-0.23.,,,"Instead, to access methods in the JRE you have to include little wrapper methods in your jar files that you loaded into the database.",0,,,"If, by any chance, you have the logs for the task attempts attempt_200905051023_1155_m_000036_0 and attempt_200905051023_1155_m_000036_1, could you attach them to this Jira?",0,,
"I've been trying to test a patched build with ibm 1.5. on iseries, but have run into trouble:
- OOM with suites.All.",0,,,0,Thanks Sid!,,,"Integrated in Hadoop-Mapreduce-0.23-Build #9 (See [https://builds.apache.org/job/Hadoop-Mapreduce-0.23-Build/9/])
HADOOP-7608.",0,,,"Igor suggested moving the call to Component#onBeforeRenderChildren() inside Component#onBeforeRender(), but if I do that, I get an NPE in the ListView#renderItem() method even for basic code.",0,,
"I've fixed that locally and am doing a full build, but I'm going to build a test case to duplicate the error and then verify my proposed fix corrects it.",1,,,0,"Thanks for testing, but please don't close it yet.",,,"IntIdentity, ShortIdentity, LongIdentity, CharIdentity, ByteIdentity, StringIdentity provide implementation of compareTo() allowing comparison with other identity *of the same type*.",0,,,Ilene Seeleman has agreed to review patch.,0,,
I've looked at what can be done within the NSIS framework we use to build the Windows installer.,1,,,0,Fixed; trunk r910567,,,Is it possible to signal from the ServiceTracker to the test that the servlet is installed?,0,,,"Improve patch : when the flexibleString is resolved, search fields on root context and parameters map.",0,,
I've reverted this for the moment.,0,,,0,For _ExternalSpecifications there is already an issue in the JIRA: MYFACES-2582,,,Is that what you meant?,0,,,in a CREATE USER statement.,0,,
"I've tested with Ruby 1.8, Ruby 1.9, JRuby, and even Rubinius, but all on Linux.",0,,,0,Thank you.,,,Is the bug really in NGramTokenFilter?,0,,,"In addition, it makes the committer's life easier, since there is an agreement by convention that the APIs inside *.api are not to be touched without common agreement, whereas anything outside of this package can be treated with more liberties.",0,,
"Ie, both at are bad.",1,,,0,Issue has been resolved.,,,Is the null check necessary?,0,,,"In fact, if you happen to know why ObserverHammerQuorumTest is failing with this latest patch, I'd love to hear.",1,,
"if (!jj_semLA || jj_3R_60()) return true;
if (jj_3R_61()) return true;
return false;
}
The simple fix could be to wrap the lookingAhead assignment after the call within finally block.",0,,,0,A new patch including some corrected Japanese sentences and a link to Solr Wiki.,,,Is there any particular reason on using an _ in front of the following variables?,0,,,"In the future, I could just get around the issue by using relative symlinks for those files (I think).",0,,
"If a threaded management is needed, then a new class should be used, that ensures the conditions are fulfilled.... that is at last that the context loader is unchanged.",0,,,0,All log statements should now be surrounded by log guards.,,,"It does incur extra system calls, but uses less memory, which is a tradeoff.",0,,,"In the same vein, isolating the API interfaces into a separate package makes it a lot easier to manage than having everything dispersed around - e.g.",0,,
"If I am not wrong, the follower that is stuck never accepts the leadership of the Leader in the ensemble, because it is an established ensemble and it sees no quorum in it.",0,,,0,"Horia Chiorean <hchiorea@redhat.com> made a comment on [bug 1014709|https://bugzilla.redhat.com/show_bug.cgi?id=1014709]

https://github.com/jboss-integration/modeshape/commit/d1d97180c957491bee3654743ebd4a6860314ad3",,,It does not look very useful.,1,,,In this case we have extremely wide spread __important__ values with only ___single_ occurrences.,0,,
If I get a chance I may even roll it into our dev environment but I am currently in the middle of mem leak hell.,1,,,0,Thanks!,,,"It is a nasty bug that I've seen in real life, though.",1,,,Input welcome!,0,,
if it gets started at all.,0,,,0,Used the new attribute to move ObjectStoreDir from bin to server/xxx/data/tx-object-store,,,"It is not well documented in MSDN, but it looks like RSP has to be always aligned to 16 bytes.",0,,,Is it just a note in the CHANGES.txt?,0,,
"If it's a regression, please open a new ticket.",0,,,0,Please also see Glassfish issue 13111: https://glassfish.dev.java.net/issues/show_bug.cgi?id=13111,,,It is not yet tested - I ran into strange build problems with APR.,1,,,Is it planned to add the atomic feature to all resolvers?,0,,
If job instance has a lifecycle that ends with first successful execution we should refuse to start the same job instance ever after.,0,,,0,Committed as r1382016.,,,It is specific to what it is describing.,0,,,Is this due to the deletion of write.lock,0,,
"If so, a test that succeeds with errors is confusing as hell...",1,,,0,Thanks Sijie.,,,It was attached to the wrong bug.,1,,,Is this possible?,0,,
"if so, can you see if you can git bisect this bad boy?",1,,,0,"Joram, notify Jennifer Vennable when you completed this.",,,"It was meant to be ""super.initialize(context); line in its initialize(UimaContext)"" :)",0,,,It is just taking more time than I thought it would.,0,,
"If so, make the formatting same as it is for rest of codebase on commit?",0,,,0,"Never mind, found it.",,,It works fine now!,0,,,It looks like HLog main has support to invoke --split.,0,,
"If so, that's a pretty bad admin experience.",0,,,0,Changes applied in revision 1369338.,,,"It works for me, both in container and in testing with WicketTester.",0,,,It looks like what was applied to trunk.,0,,
"If that would be the case, this would be bad design.",1,,,0,Many thanks.,,,It would be good if folks can use standard Java i/o idioms with Hadoop.,0,,,It must be a bug in Sun's hotspot compiler.,0,,
"If that's not true, then you can pretty
much ignore everything in this particular comment...",0,,,0,Monitor no longer based on protobuf.,,,"It would be great, if you could work on it.",0,,,It only breaks if j14lib is not set.,0,,
"If that's true, it'd be nice if we had a standard way to annotate such code so we can methodically remove the old stuff.",0,,,0,"periodic bulk close of resolved issues.
",,,"It would require changes to the API to have crypto only run on the server, but it might be simpler.",0,,,It seems strange to me that we are retrying something that throws a DoNotRetyIOException.,0,,
"If the dictionary were created with the flag to true, then all entries would use a case sensitive comparison.",0,,,0,Thank you!,,,"It's kind of annoying to have to use 4GB of temporary space
Nope, it only writes the compressed file to disk; {{gzip -1}} compresses 4GB of zeros to 18 MiB.",0,,,It signifies 10% of generated values will be __fixed_ values - their respective bin means!,0,,
If the different segments are somewhat homogeneous then these stats should pretty much be very close anyway.,1,,,0,It's working like a charm.,,,"It's not a major one, but it would be a ""nice to have"" especially with the popularity of web services growing like it is.",0,,,It will be great if you could confirm it either way first.,1,,
If they do then Suse's cpio works for old ascii but the -c switch is broken.,1,,,0,The b-1.0 patch also applies to branch-1.,,,"It's the ObjectMessage that could alternatively be sent as an XStream message, right?",0,,,It will come eiither today or tomorrow.,0,,
If using a single FlatFileItemWriter it is enough to register it as an ItemWriter however when using the composite the adding it as a stream is also needed.,1,,,0,I too have been busy on other projects.,,,JUnit test and Patch provided,0,,,"It works perfectly with the latest 2.7.8-SNAPSHOT, thanks !",0,,
"If we remove an entry while someone is doing a search, the search will fail.",0,,,0,I'll try and test with queryIndexesRebuiltSynchronously false today.,,,Just picking a type from one of the types was a simple enough solution.,0,,,"It's easy, look in the scratchpad/webapp/mount how it is done.",0,,
"If you are stuck with solr 4.0 alpha, here's a patch which may work.",0,,,0,fancy applying this patch before 1.3.0?,,,Just really wondering/hoping you'd be interested in working on these ??,0,,,"Jacopo & Anil,
Here is the patch for this issue.",0,,
"If you really don't want such a link, you could always hide it with CSS.",0,,,0,applied patch (thanks) in r1055887,,,just uploaded.,0,,,"Jan,
I looked that the logic again I think your are right.",0,,
"If you want to have a binary sequencefile format, then do this.",0,,,0,"Hi Jaikiran, 

Didn't you already fix this one?",,,Keep repeating this and the problem just gets worse.,1,,,"Jason,
I checked...you have karma as you are in the ""jira-administrators"" group.",0,,
"if you want to make these optimizations, fix the APIs so its intuitive, otherwise, no way.",1,,,0,Thanks!,,,Killed it with fire.,0,,,"Jason, I suggest you create a separate issue something like ""Integrate BytesRefHash in Realtime Branch"" and I will take care of it.",0,,
"Igor is an idiot, and we *do* need gmake.",1,,,0,"Dona, Thiru: can one of you (or anyone else) please review this?",,,Kiran - I think this is a setup issue than anything else.,0,,,"Jason, thanks for the patch.",0,,
Im stuck with IE6 unfortunately.,1,,,0,05 was committed in r613384,,,laguna-industries.com mail is handled by 10 mail.laguna-industries.com.,0,,,Junit test.,0,,
Imo all this just doesn't make sense from a pure performance aspect.,1,,,0,committed to TRUNK (m3),,,Last try.,1,,,Just noticed when trying to vote for 1.3.0.,0,,
"In addition, in the longterm we will all most likely be using annotations, and the ""fetch group"" notion does *not* work with annotations.",0,,,0,applied.,,,Let's be vague about what that entails right now.,0,,,Just updated and ran through a few test runs -- haven't seen this since.,0,,
"In English sentence there exists space between words and
that space tells where the line can be breaked.",0,,,0,Thanks!,,,"Let's clean up all these issues in the incremental cache report JIRA (HDFS-5092); if this sounds good, I'll edit the JIRA description with these todo items.",0,,,"just wanted to mention it, as it's not about my personal preference, but rather what is considered most useful for everybody.",0,,
"In many ways, I think that the support for 3rd part performance and health monitoring is already there.",0,,,0,"Closing this issue, Jacopo fixed it at r1345528.",,,"lifecycle management up to a separate container
Agreed, and my patch also contains a TODO for that.",0,,,larger sample) we'll get fixed values for all this bins in the long tail.,0,,
